nicho,nombre,direccion,telefono,web,score,problemas,verificado,estado_contacto,fecha_contacto,respuesta
Talleres Mecánicos,H-Tech Auto,"2069 S Rainbow Blvd, Las Vegas, NV 89146",(702) 685-1400,No disponible (solo aparece en agregadores como SureCritic/Yelp),4,Sin sitio web propio; 239 reseñas en Yelp (negocio activo),True,Pendiente,,
Tatuajes,Pair-A-Dice Tattoo,"304 E Sahara Ave, Las Vegas, NV 89104",(702) 792-8282,pairadicetattoolv.com (dominio caducado — ahora redirige a una empresa de distribución de alimentos no relacionada),3,"CRÍTICO: dominio perdido, ahora pertenece a otra empresa; 66 reseñas en Yelp (negocio activo)",True,Pendiente,,
Tatuajes,Ink The Flesh,"Las Vegas, NV 89118 (dirección exacta no confirmada — fuentes muestran dos ubicaciones distintas)",(702) 483-1736,lasvegastattoostudio.com (dominio caducado — listado en venta en Afternic),3,"CRÍTICO: dominio caducado, ahora en venta",True,Pendiente,,
Tatuajes,Dotty Ginger Tattoo,"3533 S Valley View Blvd, Las Vegas, NV 89103",(702) 501-0699,dotty.tattoo (el sitio no carga — conexión rechazada),3,CRÍTICO: sitio caído (no carga); 53 reseñas en Yelp,True,Pendiente,,
Talleres Mecánicos,5 Star Auto Repair,"6396 W Sahara Ave, Las Vegas, NV 89146",(702) 304-2000,https://5starlv.com/,3,Plantilla genérica de GoDaddy; 130 reseñas en Yelp (negocio activo),True,Pendiente,,
Talleres Mecánicos,German Motors,"3379 Sammy Davis Jr Dr, Las Vegas, NV 89109",(702) 696-0880,https://germanmotorslv.com/,3,Sitio desactualizado y recargado de información; 268 reseñas en Yelp (negocio activo),True,Pendiente,,
Talleres Mecánicos,U & M Auto Repair,"4801 S Pecos Rd, Ste 3D, Las Vegas, NV 89121",(702) 300-0198,No disponible,3,Sin sitio web; Página de Facebook sin contenido visible (sin verificar actividad),True,Pendiente,,
Talleres Mecánicos,Motor City Auto Care,"3421 S Decatur Blvd, Ste 1, Las Vegas, NV 89102",(702) 780-4877,No disponible,3,Sin sitio web,True,Pendiente,,
Talleres Mecánicos,Passion Auto Repair,"2695 S Decatur Blvd, Ste 300, Las Vegas, NV 89102",(702) 906-2051,https://passionautorepair.com/,3,Plantilla genérica de GoDaddy; Contenido duplicado (sección de A/C repetida); 221 reseñas en Yelp,True,Pendiente,,
Talleres Mecánicos,Japanese Car Service,"5350 Spring Mountain Rd, Las Vegas, NV 89146",(702) 364-5616,No disponible,3,Sin sitio web; Instagram activo (publicación reciente verificada),True,Pendiente,,
Salones de Uñas,5T Nails & Spa,"345 E Silverado Ranch Blvd, Ste 135, Las Vegas, NV 89183",(702) 405-8558,5tnailsandspa.com (el sitio no carga — conexión rechazada),3,CRÍTICO: sitio caído (no carga),True,Pendiente,,
Capillas de Boda,A Stained Glass Wedding Chapel,"721 S Casino Center Blvd, Las Vegas, NV 89101",(702) 460-7283,https://www.astainedglassweddingchapelvegas.com/,2,Plantilla genérica de Wix; Sin sistema de reserva online integrado,True,Pendiente,,
Capillas de Boda,Little Chapel of Hearts,"2207 S Las Vegas Blvd, Las Vegas, NV 89104",(702) 221-5683,https://littlechapelinvegas.com/,2,Diseño desactualizado frente a la competencia; 83 reseñas en Yelp,True,Pendiente,,
Tatuajes,Studio 21 Tattoo Gallery,"6020 W Flamingo Rd, Ste B-2, Las Vegas, NV 89103",(702) 248-8762,https://www.studio21tattoo.com/,1,876 reseñas en Yelp (negocio muy activo); Sitio ya moderno (Shopify) — baja prioridad de rediseño,True,Pendiente,,
Tatuajes,Illuminati Tattoo Co.,"3247 S Sammy Davis Jr Dr, Ste C, Las Vegas, NV 89109",(702) 222-2250,https://www.tattooilluminati.com/,1,Cientos de reseñas en Yelp (negocio activo); Sitio ya moderno — baja prioridad de rediseño,True,Pendiente,,
Tatuajes,Skin Factory Tattoo,"2461 W Horizon Ridge Pkwy, Ste 110, Henderson, NV 89052",(702) 263-1005,https://www.skinfactorytattoo.com/,1,276 reseñas en Yelp (negocio activo); Sitio ya moderno (diseñado por agencia) — baja prioridad de rediseño,True,Pendiente,,
